"count","pos",level1
168520,"noun (common) (futsuumeishi)",noun
14417,"noun or participle which takes the aux. verb suru",noun
11257,"expressions (phrases/clauses/etc.)",expression
9342,"nouns which may take the genitive case particle `no'",noun
5656,"adjectival nouns or quasi-adjectives (keiyodoshi)",adjective
5415,"transitive verb",verb
4822,"Ichidan verb",verb
3836,"intransitive verb",verb
3573,"adverb (fukushi)",adverb
3243,"Godan verb with `ru' ending",verb
2564,"Godan verb with `su' ending",verb
2277,"adjective (keiyoushi)",adjective
1749,"adverb taking the `to' particle",adverb
1304,"Godan verb with `ku' ending",verb
1049,"noun",noun
993,"Godan verb with `u' ending",verb
915,"noun or verb acting prenominally",noun
880," used as a suffix",suffix
879,"Godan verb with `mu' ending",verb
785,"adverbial noun (fukushitekimeishi)",noun
635,"noun (temporal) (jisoumeishi)",noun
595,"suffix",suffix
548,"interjection (kandoushi)",interjection
489,"`taru' adjective",adjective
438,"suru verb - special class",verb
327,"Godan verb with `tsu' ending",verb
322,"prefix",prefix
281,"suru verb - irregular",verb
262,"pronoun",pronoun
261,"conjunction"
257,"counter"
256,"particle"
217," used as a prefix"
207,"Godan verb with `gu' ending"
159,"pre-noun adjectival (rentaishi)"
144,"Godan verb with `bu' ending"
141,"auxiliary verb"
132,"Ichidan verb - zuru verb (alternative form of -jiru verbs)"
96,"adjective (keiyoushi) - yoi/ii class"
69,"numeric"
56,"auxiliary"
56,"Godan verb - Iku/Yuku special class"
54,"Godan verb with `ru' ending (irregular verb)"
40,"Kuru verb - special class"
24,"Yodan verb with `ru' ending (archaic)"
24,"proper noun"
23,"su verb - precursor to the modern suru"
20,"Nidan verb (lower class) with `dzu' ending (archaic)"
19,"`ku' adjective (archaic)"
19,"Yodan verb with `ku' ending (archaic)"
19,"Nidan verb (lower class) with `ru' ending (archaic)"
18,"Nidan verb (lower class) with `mu' ending (archaic)"
16,""
15,"auxiliary adjective"
13,"Godan verb with `nu' ending"
11,"unclassified"
11,"Yodan verb with `hu/fu' ending (archaic)"
11,"Godan verb with `u' ending (special class)"
11,"archaic/formal form of na-adjective"
10,"Godan verb - -aru special class"
9," plain form ends with -ri"
9,"irregular ru verb"
9,"irregular nu verb"
7,"Nidan verb (upper class) with `tsu' ending (archaic)"
7,"Yodan verb with `su' ending (archaic)"
5,"Nidan verb (lower class) with `tsu' ending (archaic)"
5,"Nidan verb (lower class) with `yu' ending (archaic)"
5,"Nidan verb (upper class) with `yu' ending (archaic)"
4,"Nidan verb (lower class) with `hu/fu' ending (archaic)"
4,"Nidan verb (upper class) with `hu/fu' ending (archaic)"
4,"Nidan verb (upper class) with `gu' ending (archaic)"
3,"copula"
3,"Nidan verb (lower class) with `nu' ending (archaic)"
3,"Nidan verb with 'u' ending (archaic)"
3,"`shiku' adjective (archaic)"
3,"Yodan verb with `tsu' ending (archaic)"
2,"Nidan verb (upper class) with `bu' ending (archaic)"
2,"Nidan verb (lower class) with `gu' ending (archaic)"
2,"Ichidan verb - kureru special class"
2,"Yodan verb with `bu' ending (archaic)"
2,"Nidan verb (lower class) with `ku' ending (archaic)"
1,"Nidan verb (lower class) with `su' ending (archaic)"
1,"Nidan verb (lower class) with `zu' ending (archaic)"
1,"Nidan verb (lower class) with `u' ending and `we' conjugation (archaic)"
1,"Yodan verb with `mu' ending (archaic)"
1,"Nidan verb (upper class) with `ru' ending (archaic)"
1,"Nidan verb (upper class) with `ku' ending (archaic)"
